NAIENC_ID,CAL_DT,AMT
4MR07155NC3713640,1/1/2013,15.99
86X793840B304944A,1/1/2013,1000.00
142822935T286933S,1/1/2013,39.95
2B8376515U811605F,1/1/2013,275.00
5EK42491G77199947,1/1/2013,748.60
4DU83152CE304025L,1/1/2013,50.00
142822935T286933S,1/1/2013,39.99
4VB075425D517072L,1/1/2013,20.00
4DU83152CE304025L,1/1/2013,12.08
4DU83152CE304025L,1/1/2013,4.00
87A15714YH459340W,1/2/2013,15.00
14606716CP323321U,1/2/2013,1.64
6HN620196N3906833,1/2/2013,12.29
14606716CP323321U,1/2/2013,1.81
4RW94591PW4439455,1/2/2013,17.98
14606716CP323321U,1/2/2013,6.23
14606716CP323321U,1/2/2013,1.64
8PE03689VN1623229,1/2/2013,44.80
3NG12356YP207380G,1/2/2013,44.98
72X21603L28813234,1/2/2013,8.99
14606716CP323321U,1/2/2013,1.98
14606716CP323321U,1/2/2013,1.98
6MP31479N9757344R,1/2/2013,6.99
7K136005HR038203H,1/2/2013,619.39
8PE03689VN1623229,1/2/2013,1.81
14606716CP323321U,1/2/2013,1.64
14606716CP323321U,1/2/2013,1.98
8Y932638516390800,1/2/2013,10.45
01X69407P15584617,1/2/2013,0.00
14606716CP323321U,1/2/2013,330.00
01X69407P15584617,1/2/2013,0.00
2NT06249TL802190A,1/2/2013,19.95
79A66137M78791358,1/2/2013,4.99
14606716CP323321U,1/2/2013,1.64
14606716CP323321U,1/2/2013,1.64
82J10928HM486701F,1/2/2013,50.01
8Y932638516390800,1/2/2013,30.00
14606716CP323321U,1/2/2013,1.64
5PH06036LU182760T,1/2/2013,0.00
7JP36145CK709663M,1/2/2013,8.99
8PE03689VN1623229,1/2/2013,1.64
01X69407P15584617,1/2/2013,0.00
3F1740710H221462B,1/2/2013,74.00
5PH06036LU182760T,1/2/2013,0.00
79A66137M78791358,1/2/2013,2.65
14606716CP323321U,1/2/2013,1.64
26C77815R2310161N,1/3/2013,35.00
5WD62471XE1788135,1/3/2013,10.25
3UT3821401538583K,1/3/2013,27.00
1.87E+16,1/3/2013,237.00
79A66137M78791358,1/3/2013,2.82
5PH06036LU182760T,1/3/2013,0.00
5WD62471XE1788135,1/3/2013,23.74
14606716CP323321U,1/3/2013,35.98
9BH87161K0818223J,1/3/2013,9.99
86X793840B304944A,1/3/2013,1.50
9BH87161K0818223J,1/3/2013,9.99
0JC724646A208651C,1/3/2013,15.95
8PE03689VN1623229,1/3/2013,2.65
14606716CP323321U,1/3/2013,1.64
5WD62471XE1788135,1/3/2013,10.25
14606716CP323321U,1/3/2013,1.64
5WD62471XE1788135,1/3/2013,4.05
3HC60533DR091163W,1/3/2013,24.95
14606716CP323321U,1/3/2013,1.64
5WD62471XE1788135,1/3/2013,8.57
79A66137M78791358,1/3/2013,1.64
